,Adaptor,Rounder,Plausible_shields,Attribute_shields
finally,1.0,,1.0,
completely,1.0,1.0,2.0,
rather,1.0,1.0,,
simply,1.0,1.0,2.0,
just,11.0,7.0,7.0,
quite,3.0,1.0,,
if,2.0,,6.0,
likely,1.0,1.0,2.0,
also,5.0,,8.0,1.0
approximately,1.0,,,
entire,1.0,,1.0,
Only,1.0,,,
last,1.0,1.0,2.0,
kind of,2.0,1.0,1.0,
really,3.0,1.0,4.0,
a little bit,2.0,2.0,,
little bit,1.0,,,
probably,1.0,1.0,5.0,
it seems,1.0,,,
I believe,1.0,,1.0,
besides,1.0,,,
instead,1.0,,2.0,
specific,1.0,,,
still,3.0,3.0,4.0,
though,1.0,,1.0,
possible,1.0,,1.0,
openly,1.0,,,
thanks to,1.0,,,
don't,1.0,,1.0,
first-ever,1.0,,,
however,1.0,1.0,1.0,
more than,1.0,6.0,1.0,
or,1.0,,1.0,
often,2.0,3.0,1.0,
mostly,1.0,1.0,,
pretty,1.0,,1.0,
essentially,2.0,,1.0,
very,1.0,3.0,2.0,
consistently,1.0,1.0,,
all,1.0,5.0,1.0,
sometimes,1.0,1.0,,
already,1.0,,,
like,1.0,,2.0,1.0
all that,1.0,,,
largely,1.0,1.0,1.0,
specifically,1.0,,,
just as long as,1.0,,,
especially,1.0,,,
purely,1.0,,,
particularly,1.0,2.0,,
actually,1.0,1.0,,
not,1.0,,7.0,
shouldn't,1.0,,1.0,
at times,1.0,1.0,1.0,
obviously,1.0,,1.0,
several,1.0,2.0,1.0,
only,1.0,5.0,3.0,
another,1.0,,1.0,
remaining,1.0,,,
about,,18.0,1.0,
as,,2.0,3.0,2.0
close,,1.0,,
few,,2.0,,
little,,1.0,,
at least,,5.0,,
many,,5.0,1.0,
most,,14.0,5.0,
fewer,,1.0,,
wide-ranging,,1.0,,
frequenting,,1.0,,
three,,2.0,,
over,,3.0,,
recently,,3.0,1.0,
last year,,1.0,,
this year,,1.0,,
might be,,1.0,,
in the world,,1.0,,
long-running,,1.0,,
could be,,1.0,,
more,,3.0,4.0,
every,,1.0,,
one,,1.0,,
could,,1.0,15.0,
main,,1.0,,
sharp,,1.0,,
significant,,1.0,1.0,
general,,1.0,,
throughout,,1.0,,
long,,3.0,2.0,1.0
regularly,,1.0,,
constant,,1.0,,
somehow,,1.0,,
full season's,,1.0,,
10 seasons',,1.0,,
12 seasons',,1.0,,
super,,1.0,,
nearly,,4.0,,
basically,,1.0,,
fully,,1.0,,
some,,5.0,4.0,1.0
first,,6.0,,1.0
second,,2.0,,
most-asked,,1.0,1.0,
only known,,1.0,,
people were waiting,,1.0,,
just who,,1.0,,
among the finest,,1.0,,
lots of,,1.0,,
everybody,,1.0,1.0,
sort of,,1.0,,
recent years,,1.0,,
typically,,1.0,1.0,
around-the-clock,,1.0,,
amazing,,1.0,,
just under,,2.0,,
16,,1.0,,
in the end,,1.0,,
potentially,,1.0,1.0,
Two months later,,1.0,,
2023,,1.0,,
third,,2.0,,
fourth,,2.0,,
early,,1.0,,
final,,2.0,,
two,,4.0,,1.0
multiple,,1.0,,
so,,2.0,2.0,
around,,1.0,,
first time,,1.0,,
almost,,1.0,,
six,,2.0,,
last week,,1.0,,
over the weekend,,1.0,,
a lot of,,1.0,,
perhaps,,1.0,,
biggest,,1.0,,
successfully,,1.0,,
inaugural,,1.0,,
brilliant,,1.0,,
41 years,,1.0,,
under,,2.0,,
equally,,1.0,,
half of,,1.0,,
oldest,,1.0,,
days ago,,1.0,,
one of the all-time great,,1.0,,
plenty of,,1.0,,
eventually,,1.0,1.0,
remarkable,,1.0,2.0,
just as,,1.0,,
on the final day,,1.0,,
ever,,1.0,,
or more,,1.0,,
serious,,1.0,,
huge,,1.0,1.0,
not really,,1.0,,
major,,1.0,,
later,,1.0,,
way back,,1.0,,
since,,2.0,,
as of,,1.0,,
December 2019,,1.0,,
four-year,,1.0,,
a year later,,1.0,,
half,,1.0,,
January 2023,,1.0,,
too,,3.0,,
meanwhile,,1.0,,
repeatedly,,1.0,,
so long,,1.0,,
