,Adaptor,Rounder,Plausible_shields,Attribute_shields
同样,3.0,2.0,,1.0
首次,2.0,6.0,,
也是,2.0,1.0,,
则是,1.0,,,
设为,1.0,,,
全力,1.0,,,
遭遇,1.0,,,
不过,2.0,1.0,,
好在,1.0,,,
连锁,1.0,,,
完美,2.0,,,
必将,1.0,,,
更加,2.0,,,
更,2.0,1.0,,1.0
更有,1.0,,,
极具,1.0,,,
唯美,1.0,,,
据,3.0,1.0,2.0,22.0
几个,1.0,1.0,,
但,1.0,,,
完全,2.0,,,
很,7.0,2.0,,
几乎,4.0,,,
可以,2.0,,1.0,
似乎,1.0,,2.0,
并不,2.0,,,
非常,11.0,2.0,,
还没有,1.0,1.0,,
不知道,1.0,1.0,,
依旧,1.0,,,1.0
不错,3.0,,,
最近,1.0,1.0,,
约,1.0,6.0,,
还,4.0,3.0,,
将于,1.0,,,
一直,2.0,4.0,,
极少数,1.0,,,
很快,4.0,,,
连,1.0,1.0,,
还是,2.0,1.0,,1.0
说,1.0,,,
颇为,2.0,,,
基本,1.0,1.0,,
官宣,1.0,,,1.0
也,3.0,2.0,,
就此,1.0,,,
可能,2.0,3.0,2.0,
又,1.0,1.0,,
每个人,1.0,1.0,,
都,1.0,1.0,,
具备,1.0,,,
如果没有,1.0,,,
甚至,2.0,,,
有点,1.0,1.0,,
还真是,1.0,,,
只在一瞬之间,1.0,,,
不断,1.0,,,
还没,1.0,,,
只有,2.0,1.0,,
全部,2.0,6.0,,
只,2.0,5.0,1.0,
难掩,1.0,,,
相比于,1.0,,,
相对,2.0,1.0,,
以,1.0,2.0,,
实话实说,1.0,,,
还剩下,1.0,,,
如此,1.0,,,
希望,1.0,,,1.0
可知,1.0,,,
有些,2.0,1.0,,
最,3.0,,,
必须,1.0,,,
很难,1.0,,,
实在,1.0,,,
太,2.0,,,
当时,1.0,2.0,,
并且,1.0,,,
当,1.0,,,
其实,1.0,,,
一举,1.0,,,
不仅,1.0,1.0,,
也没有,1.0,,,
很多,1.0,2.0,,
据报道,1.0,,1.0,
首位,1.0,,,
显然,1.0,,,
顺利,1.0,,,
高难度,1.0,,,
打破,1.0,,,
自由,1.0,,,
总,1.0,,,
相当,4.0,,,
比较,1.0,,,
十分,1.0,,,
最终,1.0,3.0,,1.0
微弱,1.0,,,
更多,1.0,3.0,,
最后时刻,1.0,,,
表现,1.0,,,
出色,1.0,,,
率先,1.0,,,
夺得,1.0,,,1.0
基本上,1.0,,,
最长,1.0,,,
没有,1.0,,,
就,1.0,,,
可谓,1.0,1.0,,
暂居,1.0,,,
几次,1.0,1.0,,
未能,1.0,,,
各有,1.0,,,
均未,1.0,,,
直到,1.0,,,
稍稍,1.0,,,
更重要的是,1.0,,,
极少,1.0,,,
自信,1.0,,,
少了一个竞争对手,1.0,,,
一度,1.0,9.0,2.0,
仅见,1.0,,,
极,1.0,,,
太多,1.0,3.0,,
大概,1.0,1.0,,
难得,1.0,,,
增加,1.0,1.0,,
有,1.0,,,
可,1.0,,,2.0
冠绝全场,1.0,,,
较之以往提升明显,1.0,1.0,,
没想到,1.0,,,
明显,1.0,1.0,,
最后,1.0,6.0,,
将,1.0,2.0,,3.0
大大,1.0,,,
称,1.0,,1.0,19.0
欠佳,1.0,,,
仍然,1.0,,,
稍,2.0,3.0,,
略有,1.0,,,
极致,1.0,,,
完成了,1.0,,,
最好,,2.0,,
赛季,,1.0,,
今年8月,,1.0,,
相比,,2.0,,
首度,,1.0,,
历史性,,1.0,,
今年,,2.0,,1.0
温网,,1.0,,
